Country,Total Cases,Total Deaths,Total Cases per Mil,Tests_per_Mil,2020,2021,2022,Population (2020),Density (P/Km²),Med. Age
Mexico,7084488,330065,53849,139806,1495.6599999999999,1285.52,1371.6399999999999,128655589,66,29
Croatia,1231575,16902,303397,1287388,61.38099999999999,63.399,68.52499999999999,4110214,73,44
Bhutan,61730,21,78343,2923739,3.798,2.48,2.74,769867,20,28
Pakistan,1572598,30616,6853,132806,0,0,0,219992900,287,23
Kiribati,3430,13,27792,NA,0.18,0.232,0.24500000000000002,119069,147,23
Sierra Leone,7751,126,933,31296,6.373,4.407,4.587,7942879,111,19
Nigeria,265382,3155,1224,25104,594.992,480.48199999999997,555.3459999999999,205052107,226,18
Zimbabwe,257409,5602,16790,163814,17.529,25.791,27.806,14818157,38,19
Niger,9931,312,381,9759,11.4,15.636999999999999,17.261,24014064,19,15
China,250449,5226,173,110461,17100.06,16862.980000000003,18463.129999999997,1438207241,153,38
Tonga,16182,12,150182,4965327,0.5740000000000001,0.501,0.54,105449,147,22
Uganda,169396,3628,3498,62198,37.688,43.243,47,45427637,229,17
Estonia,601869,2681,455303,2675566,31.856,36.039,39.542,1326357,31,42
Belgium,4533249,32659,388511,3047194,556.197,581.848,619.16,11579477,383,42
Russia,20948470,387163,143674,1875095,1791.79,1647.57,1703.53,145922010,9,40
Ethiopia,493563,7572,4085,43529,100.324,92.757,0,114357494,115,19
Armenia,442875,8683,149018,1080416,12.939,13.612,15.06,2962137,104,35
Liberia,7961,294,1501,26356,2.984,3.384,3.664,5032469,53,19
Cambodia,137870,3056,8030,178789,27.089,26.08,27.984999999999996,16671185,95,26
Mauritania,62812,995,12814,198061,6.291,9.164,9.336,4623535,5,20
Egypt,515645,24613,4857,34792,0,396.328,438.348,101930276,103,25
Romania,3267370,67016,171684,1318569,242.889,287.279,314.876,19262731,84,43
Malta,114652,806,258206,4641322,12.432,16.695,18.209,441308,1380,43
Senegal,88373,1968,5006,64946,22.828,27.576,30.039,16649599,87,19
Equatorial Guinea,17012,183,11367,244342,10.856000000000002,12.527999999999999,12.074,1392950,50,22
Spain,13412263,114084,287083,10082298,1497.6699999999998,1439.96,1570.91,46751175,94,45
Jordan,1746997,14122,169597,1669945,53.852,45.343999999999994,47.5,10182442,115,24
Cyprus,585313,1180,478437,7879860,23.907,26.546,28.291,1205577,131,37
Thailand,4681309,32767,66801,246450,473.99699999999996,546.2230000000001,585.586,69764925,137,40
Canada,4233468,44992,110280,1691366,1958.1499999999999,2015.98,2189.79,37674770,4,41
Panama,986866,8497,221919,1588056,71.67899999999999,60.121,64.366,4300667,58,30
Tunisia,1145686,29249,95104,410754,53.537,42.733000000000004,45.45399999999999,11793319,76,33
Guinea,37652,449,2715,47607,10.326,16.724,18.223,13056478,53,18
Burundi,50129,38,3971,27386,4.489000000000001,3.193,3.3959999999999995,11814346,463,17
Seychelles,47141,169,474132,NA,1.825,1.288,1.751,98224,214,34
El Salvador,201785,4229,30805,398467,31.358,27.665,29.316000000000003,6479609,313,28
Singapore,1904192,1617,320380,4096043,394.977,378.64500000000004,396.99499999999995,5840996,8358,42
Algeria,270668,6879,5968,5091,219.16,163.812,168.195,43685618,18,29
Sweden,2588441,20194,253298,1855920,585.743,622.3649999999999,660.918,10086531,25,41
Uzbekistan,244199,1637,7103,40077,88.986,65.503,72.762,33368859,79,28
Kuwait,658520,2563,150336,1909739,178.517,132.266,138.78,4257495,240,37
Samoa,15925,29,78743,926612,1.016,0.7799999999999999,0.808,198147,70,22
Benin,27638,163,2162,47268,11.659,18.067,19.917,12055347,108,19
Latvia,929051,5990,502506,4137741,38.833999999999996,37.199000000000005,40.83,1890218,30,44
Netherlands,8422336,22643,489345,1226358,940.749,1007.56,1070.75,17127290,508,43
Bosnia and Herzegovina,398668,16136,122693,572748,21.559,21.692,23.006,3284806,64,43
Maldives,185042,308,342046,4092223,4.434,4.573,5.296,538558,1802,30
Eritrea,10169,103,2777,6470,7.584,2.254,2.484,3536285,35,19
Chile,4620377,61141,240017,2344339,292.019,331.25,352.66400000000004,19082804,26,35
Fiji,68242,878,75035,728581,5.739000000000001,4.639,5.01,895128,49,28
